국가,유적,공부말단,전체길이,모신부길이,모신부 최대폭,공부길이,공부직경
백제,아산명암리밖지므레 유적,직기형,32,14,2.7,18,2.9
백제,아산 북수리유적,연미형,29,12,2.3,17,2.6
백제,아산 북수리유적,연미형,22,10,1.7,12,3.5
백제,아산 북수리유적,연미형,26,10,1.6,16,2.7
백제,아산 북수리유적,연미형,23,9,1.6,14,2.5
백제,아산 북수리유적,연미형,23,12,2.3,11,2.2
백제,아산 북수리유적,직기형,30,18,2.8,12,3.1
백제,아산 북수리유적,연미형,33,16,2.4,17,2.5
백제,아산 행승리유적,직기형,27,16,3.7,11,3
백제,연기 대평리유적,연미형,21,15,1.8,6,2
백제,연기 대평리유적,연미형,21,9,2.4,12,2.9
백제,연기 대평리유적,직기형,26,9,1.5,17,2.8
백제,연기 대평리유적,연미형,27,13,3,13,2.9
백제,연기 대평리유적,연미형,29,14,2.5,15,3
백제,연기 송담리유적,직기형,19,10,1.5,9,1.9
백제,연기 송담리유적,직기형,21,9,1.6,12,2.9
백제,연기 송담리유적,직기형,32,21,3.5,11,3
백제,연기 송담리유적,직기형,40,18,3.1,22,3.5
백제,연기 송담리유적,직기형,23,9,1.9,14,3.4
백제,연기 송담리유적,직기형,23,11,2,12,3.5
백제,연기 송담리유적,연미형,18,9,2.4,9,2.7
백제,연기 송담리유적,연미형,26,13,2,13,2.6
백제,연기 송담리유적,직기형,27,11,1.3,16,2.8
백제,연기송원리 만자동유적,연미형,24,12,1.4,12,3.2
백제,연기 송원리유적,연미형,18,5,1.4,13,3.2
백제,연기 송원리유적,연미형,23,8,1.7,14,2.8
백제,연기 송원리유적,연미형,27,11,1.9,16,2.7
백제,연기 송원리유적,연미형,26,9,1.7,17,3.1
백제,연기 송원리유적,직기형,21,9,1.9,12,2.6
백제,연기 송원리유적,연미형,18,8,1.6,10,3.6
백제,연기 송원리유적,연미형,26,14,1.9,13,3.5
백제,연기 송원리유적,직기형,24,12,1.8,12,2.8
백제,천안 도림리유적,연미형,27,12,2,16,3
백제,천안 도림리유적,연미형,24,9,1.8,15,3.1
백제,천안용원리고분군,연미형,27,13,2.1,15,3.2
백제,천안용원리고분군,연미형,23,12,1.6,12,3.1
백제,천안용원리고분군,연미형,23,11,1.5,12,2.7
백제,천안용원리고분군,연미형,24,10,2,14,2.7
백제,천안용원리고분군,연미형,21,8,1.8,13,2.8
백제,천안용원리고분군,연미형,22,10,1.3,12,2.8
백제,천안용원리고분군,연미형,23,11,1.4,12,2.4
백제,천안용원리고분군,연미형,33,14,2.2,18,3.3
백제,천안용원리고분군,연미형,21,11,1.6,10,3.3
백제,천안 정촌리유적,직기형,36,20,3.2,15,3.2
백제,천안화성리백제묘,연미형,23,13,2.4,11,3.1
백제,고창 봉덕리1호분,직기형,22,10,1.6,12,2.4
백제,부안 죽막동유적,연미형,26,13,2.4,13,3.5
백제,부안 죽막동유적,연미형,23,12,2,11,3.2
백제,부안 죽막동유적,연미형,21,9,1.9,12,3.1
백제,부안 죽막동유적,연미형,18,9,1.6,10,3.1
백제,부안 죽막동유적,연미형,17,8,1.8,9,3
백제,완주 상운리유적,연미형,36,21,2.5,15,3.1
